!direction	0
!num_genes	1000
!diffexp_method	chdir
!cutoff	1000
!correction_method	None
!threshold	None
!organism	Homo sapiens
!disease	Autism Spectrum Disorder
!end_metadata
ATP6V1A	-0.022560
ARSA	-0.022552
LOC727820	-0.022543
SULT1B1	0.022540
RPL37A	0.022528
KIF14	-0.022493
SOWAHC	-0.022488
OSBPL5	0.022479
DHRS9	-0.022415
ZNF280C	-0.022373
CDC6	-0.022359
ARRDC4	-0.022323
ANKRD33B	0.022311
CPA5	0.022298
CDC45	-0.022296
TMEM252	-0.022264
PRRG4	-0.022208
RPS26	-0.022201
FCRL3	0.022182
TREML3P	-0.022071
PBK	-0.022070
B3GAT1	0.022063
CXXC5	0.022027
PILRB	0.021984
ANG	-0.021968
KIF15	-0.021920
POLR2E	-0.021909
CCR9	-0.021894
TBC1D5	-0.021826
SDPR	0.021805
WLS	-0.021803
FOXO6	0.021734
EPHX1	-0.021721
CACNA2D3	-0.021709
CCR3	0.021664
TPST1	-0.021657
SLC2A3	0.021603
TXNDC16	-0.021603
IL2RB	0.021592
MIR101-1	-0.021571
TREML4	-0.021517
BOLA2	0.021511
LXN	-0.021488
FABP5	-0.021459
HLA-DRB4	-0.021441
HRH4	0.021427
DHRS13	0.021388
CHAMP1	-0.021369
ARL4C	0.021335
SNX10	-0.021310
LOC100506100	-0.021306
CD93	-0.021305
OSBPL8	0.021297
TNIP1	0.021263
CDC20	-0.021226
LINC00936	0.021206
CD19	0.021178
PYHIN1	0.021178
C6orf62	-0.021170
RPL38	0.021164
TPR	0.021136
ITM2C	0.021125
USP1	0.021119
THRAP3	0.021112
PGLYRP1	0.021111
CD3G	0.021093
ID2	0.021057
CYP2W1	0.021028
GNE	-0.020931
MID1IP1	-0.020926
PLEC	-0.020910
TKTL1	0.020885
USF1	-0.020862
ABLIM1	0.020857
HYMAI	-0.020855
ANKRD20A9P	0.020841
ATP5E	0.020787
MCEMP1	0.020763
SIDT1	0.020763
S100P	-0.020728
AASDH	0.020726
KIF4A	-0.020693
TP53INP2	-0.020645
CHD4	0.020626
CENPK	-0.020620
PRSS30P	0.020566
BSG	-0.020554
KLRC3	0.020515
TK1	-0.020493
SP1	-0.020463
IQGAP1	0.020435
PVRL2	-0.020435
ZNF831	0.020377
ZCCHC24	-0.020366
CCS	0.020343
DDX11L2	0.020317
ATG2A	-0.020288
IL1RAP	-0.020230
LGALS2	-0.020205
ZBTB21	-0.020172
MTPN	0.020169
CTSW	0.020120
C5AR2	-0.020086
LOC100507397	-0.020081
BUB1B	-0.020067
ADAMTS5	-0.020037
SPAG1	-0.019994
PPP4C	-0.019913
CD72	0.019908
LINC00487	0.019905
TRAPPC1	-0.019833
SLPI	0.019824
NUDT16P1	-0.019810
HLA-DPB2	-0.019804
ZBED2	0.019790
CLEC2L	0.019780
GATA1	0.019747
TGFBR3	0.019741
NCAPH	-0.019726
GPBAR1	-0.019713
MELK	-0.019644
KIFAP3	0.019626
KIAA1324	-0.019617
SLC35E3	-0.019597
JUNB	0.019570
PPP1R14A	0.019557
TNFSF12	-0.019556
GRN	-0.019555
FEZ1	0.019547
ARHGEF40	0.019541
MT1E	-0.019528
ACSL1	0.019495
C1orf54	-0.019488
NFXL1	-0.019487
SRGN	0.019468
KIF18B	-0.019466
FCRLA	0.019433
THAP1	-0.019411
DSPP	0.019405
BTN3A2	0.019402
SLC22A18	-0.019398
SPATA2	-0.019378
CAMP	-0.019376
DARS2	-0.019340
LRRK2	-0.019302
GATA2	0.019297
KRT3	0.019260
GINS1	-0.019247
NUP50-AS1	-0.019207
DUSP2	0.019191
DGKD	0.019186
SERTAD3	-0.019184
ARID5A	0.019151
IL6R	-0.019149
FGF13	0.019130
PLEKHF1	0.019120
CSRNP1	0.019120
KIAA0101	-0.019110
PRR34-AS1	-0.019089
KIAA0125	0.019050
KIR2DL1	0.019042
NUSAP1	-0.019039
LLGL2	0.019020
CENPW	-0.019020
CENPM	-0.018986
SNX27	-0.018969
GFI1	0.018966
PDGFA	0.018922
ZNF652	-0.018902
KIR3DL3	0.018877
LOC100132147	0.018864
SKA3	-0.018855
CHI3L2	0.018826
P2RY12	0.018823
UBE2C	-0.018791
PHYH	-0.018778
NANP	-0.018774
CDCA8	-0.018763
DKFZP434I0714	-0.018742
DPM3	-0.018736
SLAMF7	0.018696
CCNB1	-0.018689
LINGO2	0.018668
CFAP45	-0.018665
CRYBG3	-0.018657
SLC16A6	-0.018634
KBTBD7	-0.018633
ZNF37A	0.018613
FZD2	-0.018573
TXK	0.018567
CD63	0.018531
HES4	0.018523
POLE2	-0.018510
FAM86B1	-0.018490
EEF1D	0.018443
NFKBIZ	0.018441
C11orf54	-0.018403
UPP1	0.018384
CENPE	-0.018372
MKI67	-0.018369
NARF	0.018363
A1BG	-0.018361
LINC00528	0.018360
FXYD6	-0.018353
RPGRIP1	-0.018352
EXOC8	-0.018351
SLAMF6	0.018349
C19orf43	0.018330
RELL1	-0.018326
TREML1	0.018322
PNMA1	0.018318
NDN	0.018283
SH3BGRL2	0.018250
AOC1	-0.018247
VPREB1	0.018244
GPR65	0.018240
NPTN-IT1	-0.018203
CENPN	-0.018180
RMI1	-0.018179
MAD2L1	-0.018179
ENDOG	-0.018178
CDKN3	-0.018175
PLEKHM3	-0.018159
GIMAP7	0.018149
NTNG2	0.018148
SLC24A3	0.018145
LETM2	-0.018144
ELMO1	-0.018138
MLH3	0.018110
ANKRD19P	0.018105
AP3D1	0.018101
RAB11FIP1	-0.018091
LOXL1-AS1	-0.018085
KLF5	0.018079
TLE1	0.018070
CERS4	0.018052
ISL2	-0.018038
LAMP2	-0.018030
COL6A2	0.018013
CXorf21	0.018009
SAMD9L	0.018003
STRAP	0.017999
MED25	-0.017997
SARAF	0.017984
C5orf28	-0.017976
ARL16	0.017973
USP18	0.017972
SAMSN1	0.017962
CXCR3	-0.017944
USP16	0.017944
SLC25A47	0.017938
NPEPPS	0.017898
SIPA1L1	-0.017892
MYLIP	0.017859
CSF1R	-0.017840
THBS4	0.017834
GPR34	0.017833
HES6	0.017832
IL18R1	0.017827
ARFIP1	-0.017805
CLTCL1	-0.017781
DGKK	0.017780
DHRS3	0.017775
ZNF641	0.017775
ZNF22	0.017731
IL3RA	0.017714
SLCO4C1	0.017710
GGH	-0.017697
IGLV3-19	0.017695
GALNT1	0.017695
KCNE3	-0.017671
ELANE	0.017650
CORO1B	-0.017643
AOC2	-0.017615
LSR	-0.017586
DENND2D	0.017576
TXN	0.017575
GPATCH8	0.017562
NRBP2	0.017557
LINC00968	-0.017554
C2orf40	-0.017548
DICER1	-0.017522
POLB	-0.017474
CYP2R1	0.017462
AKIRIN1	-0.017445
B2M	0.017442
TLR10	0.017430
F5	0.017409
MTERF2	0.017400
CDCA3	-0.017399
SIGLEC5	-0.017388
SHCBP1	-0.017379
BLM	0.017349
HPSE	-0.017348
ZIK1	0.017345
APBA2	0.017320
RAB8A	-0.017309
CREB5	-0.017303
CXCR6	-0.017301
CYP4F2	-0.017300
VNN1	0.017296
RPS16P5	-0.017280
ANKRD36B	0.017276
ROGDI	-0.017252
LYPLA1	-0.017241
NGRN	0.017226
RUNX1-IT1	-0.017225
ANKRD36	0.017187
RASA4	0.017182
LOC100190986	-0.017171
CCNA2	-0.017152
RHOBTB3	0.017145
GNLY	0.017132
SPECC1	-0.017125
NFAM1	-0.017116
LRP11	-0.017115
CDCA5	-0.017113
SCARB2	-0.017111
IGKV1D-8	0.017105
DDAH2	0.017100
ARF3	-0.017099
SLC19A2	-0.017093
LINC00094	-0.017070
GUSBP5	-0.017034
TOX2	0.017011
TAGLN2	-0.017011
SPTSSA	-0.017010
LTBP1	0.017008
ABHD14B	-0.016985
RACGAP1	-0.016981
RHOBTB1	0.016971
NTRK1	0.016957
PRRC2C	0.016953
CDK1	-0.016946
ANXA7	-0.016944
MMP24-AS1	-0.016927
CLEC2B	0.016911
MYADM	-0.016908
NT5C3A	0.016895
BRCA1	-0.016882
GPR19	-0.016875
TPPP3	-0.016873
CXorf65	0.016872
BRE-AS1	0.016867
NEFH	-0.016858
POM121L10P	0.016844
FAM96B	-0.016839
CASP7	0.016806
SDE2	-0.016802
MICAL1	0.016801
ARL15	-0.016797
PRO2852	-0.016790
RARA	-0.016784
DEPDC1B	-0.016778
LINC00622	-0.016775
SRD5A1	-0.016772
TOX	0.016768
MCM4	-0.016763
GYG1	0.016763
HSF5	-0.016758
OXTR	0.016751
SON	0.016747
ANKRD12	0.016731
KLHL8	-0.016730
FAM134C	0.016726
RASEF	0.016694
CHCHD10	-0.016693
RBM7	-0.016692
SNX16	-0.016690
LOC100130938	0.016690
GPR84	0.016682
SOD2	0.016670
ZNF516	-0.016656
VSIG1	-0.016650
CYBRD1	-0.016635
ZAP70	0.016632
UGDH	-0.016631
POLR3GL	0.016621
CCR4	-0.016597
GCOM1	0.016590
FBLN5	0.016584
PSME3	-0.016571
CLASRP	0.016558
CBR3	-0.016558
YIPF3	-0.016556
TEX30	0.016551
ILF3-AS1	0.016547
CDT1	-0.016543
EVA1B	-0.016537
RBM5	0.016529
OIP5	-0.016520
PTTG1	-0.016514
CPNE3	-0.016512
LOC100289230	-0.016500
SF3B4	-0.016493
BBS4	0.016470
ZNF213	-0.016470
LOC101927274	0.016459
GPR89A	0.016434
MXI1	-0.016428
ZBTB6	-0.016427
PPM1D	-0.016426
CYFIP1	-0.016425
TMEM33	-0.016425
LILRA3	0.016424
OXER1	0.016420
MTX2	0.016408
PYROXD2	0.016404
ZNF880	-0.016397
ATRX	0.016394
NUCB2	0.016391
CPVL	-0.016384
ABCD2	-0.016380
HMGB3	-0.016375
HAUS4	0.016352
BEND3	-0.016338
COIL	0.016323
RPS6KA5	-0.016317
NAA38	-0.016309
LOC100289061	-0.016299
KDM6B	-0.016299
GBP5	-0.016298
XPR1	-0.016297
SYPL2	-0.016296
IL1B	0.016293
RAB27B	0.016288
C20orf27	-0.016285
ZNF385A	-0.016285
CHST12	0.016284
CCDC71L	0.016276
RFX2	-0.016262
PRC1	-0.016260
SORD	0.016259
FAM19A2	-0.016258
TVP23B	0.016247
MADCAM1	-0.016205
LRRC73	0.016200
BTBD18	-0.016197
ELOVL4	-0.016195
KCNJ2	-0.016172
TEKT4P2	-0.016171
CDK5RAP3	0.016157
ACAP1	0.016153
SPRYD4	-0.016149
IRAK4	0.016148
LCK	0.016143
LAMTOR4	-0.016140
CRACR2B	0.016133
FAM174A	-0.016132
ATP6V0E1	0.016128
LINC00282	0.016120
ARPC3	0.016114
RBBP8	-0.016103
LINC00996	0.016078
DHX29	0.016059
TSPAN2	-0.016049
RTN2	-0.016042
C17orf100	0.016035
SLC50A1	0.016025
CECR1	-0.016023
WSB1	0.016000
CHST7	-0.015988
LTF	-0.015985
HMOX1	-0.015981
SLC52A1	0.015981
SMCO4	-0.015977
CCNE2	-0.015965
LUC7L	0.015952
ABCC6	-0.015942
PSTPIP2	0.015939
DAB2	0.015931
NCF1C	-0.015912
LGALS12	0.015902
LOC285147	-0.015878
TNNC1	0.015873
SLC39A10	-0.015872
KIAA1551	0.015852
ZNF791	-0.015849
ERCC5	0.015834
TMEM156	0.015831
SLC36A4	-0.015826
NFIL3	0.015807
TRAPPC5	-0.015798
IGLV1-44	0.015786
DENND1A	-0.015760
CREB1	-0.015749
SMIM5	0.015742
RSPH10B2	0.015741
C12orf66	-0.015737
ADTRP	-0.015717
SMIM20	-0.015703
TTC38	0.015702
ZNF117	-0.015700
C14orf132	-0.015694
LOC284513	-0.015685
NDRG4	0.015683
ACAA1	0.015678
RRM2B	-0.015657
GPAT2	-0.015625
MICAL2	-0.015621
GAS6-AS1	0.015619
E2F8	-0.015618
KRT16	0.015599
PSRC1	-0.015598
SLC8A1-AS1	-0.015596
MT1F	-0.015573
OR14J1	-0.015563
LGALS8-AS1	-0.015552
SLC20A1	-0.015539
RRM1	-0.015538
PAK6	0.015535
CNIH1	-0.015532
ABHD15	0.015530
IMP3	0.015511
TNNT1	0.015493
LOC100133039	0.015489
SIGLEC16	-0.015487
SOCS4	-0.015486
ORC1	-0.015485
TMEM102	-0.015484
CMTM8	-0.015456
NR3C2	-0.015453
ROMO1	-0.015440
LOC100134822	0.015433
BAMBI	0.015428
TUBG1	-0.015425
CYP46A1	0.015414
PNN	0.015393
RBM27	0.015389
CYP1B1	-0.015389
GUCY1B3	0.015382
RAB24	0.015369
SFXN3	0.015360
NDE1	-0.015354
KIAA0232	-0.015350
TSPAN4	-0.015328
SERPINB2	-0.015326
C16orf54	0.015309
NNT-AS1	-0.015298
ZEB1-AS1	-0.015289
BAHD1	0.015283
SERPINI1	0.015279
ZNF23	0.015273
TNRC6C-AS1	0.015272
OTOP2	0.015254
FCER1A	0.015243
MYH13	0.015235
ENO1-AS1	-0.015229
NBN	0.015218
CDA	-0.015184
CHKB	0.015178
ERH	-0.015175
EIF1	0.015110
TMEM200B	0.015109
ATP1B1	-0.015108
PRMT3	-0.015105
NMUR1	0.015104
TRPC1	-0.015103
ERV3-2	0.015099
IL1A	-0.015084
SLC16A1	-0.015082
CHRM3-AS2	0.015073
ST6GALNAC3	-0.015069
CASP8	-0.015033
SLC43A2	-0.015018
LOC399900	0.015015
PIGA	-0.014996
MYOF	-0.014995
MYO15B	0.014988
GMPR	0.014985
MTX1	-0.014976
TIGIT	0.014971
TMEM230	-0.014963
GLB1	-0.014959
SENCR	-0.014956
PGRMC1	0.014955
MPZL1	-0.014952
NR1H2	-0.014950
HCG11	-0.014948
TCN1	0.014944
DEFB129	-0.014933
NLRC3	0.014926
P2RY13	-0.014925
PPBP	0.014924
JUND	-0.014922
FAM212B	-0.014909
HJURP	-0.014899
TPST2	0.014893
ABHD17C	-0.014893
EFHD1	-0.014893
LINC00339	-0.014882
EIF4EBP1	-0.014878
VPS9D1	0.014869
EIF4E3	-0.014866
LINC00116	-0.014854
AMD1	-0.014839
AHSA2	0.014835
ECI2	0.014821
KIF2C	-0.014816
SUSD1	0.014808
CHIC2	-0.014783
LZTR1	0.014782
MRPS15	0.014762
LRTM2	0.014757
FAM83D	-0.014756
DNTTIP2	0.014750
HK3	0.014749
NR4A2	0.014746
ILF3	0.014740
GABPB1-AS1	0.014740
TMEM160	-0.014733
PLXNC1	-0.014723
RNF183	0.014716
ZRSR2	0.014710
AKR1C2	0.014710
RC3H1	-0.014706
CCR1	0.014705
ERLIN2	-0.014704
MIR30C2	-0.014704
PHACTR1	0.014687
MOB3A	-0.014680
LRRC8B	-0.014675
LILRA4	0.014674
GTF2H2B	-0.014668
SLC11A1	0.014665
RGL4	0.014659
HSP90AB1	-0.014657
ARHGAP27	-0.014655
PPFIA4	-0.014655
TMOD1	0.014651
LOC150051	-0.014650
CEACAM4	-0.014646
ZBTB24	0.014645
DMXL2	-0.014642
STAT4	0.014639
TNFSF10	0.014635
NDUFB5	-0.014622
TMTC2	-0.014618
SMC2	-0.014610
ZNF692	0.014609
POM121	0.014608
SERPINF1	0.014606
TESK2	-0.014605
PLA2G7	-0.014603
MAD1L1	0.014598
IER5	0.014596
PGS1	0.014594
UBR2	-0.014588
FLJ46875	0.014587
EIF4G1	0.014582
OCEL1	-0.014574
COX3	0.014561
CHMP7	0.014557
A2M-AS1	0.014552
AGO2	-0.014551
RPS11	0.014549
APOBEC3C	-0.014545
VRTN	0.014545
STAP1	0.014542
ZFAND2A	0.014512
SEMA4A	-0.014510
DEFA4	0.014505
CPED1	-0.014498
CAB39L	-0.014472
NEBL-AS1	-0.014470
CXorf57	-0.014469
ARL13B	-0.014467
TNS3	-0.014464
SNX7	-0.014453
VDAC3	0.014451
HIGD2A	-0.014451
C11orf68	-0.014450
CYP27A1	-0.014442
UNC45B	0.014439
MAP3K8	0.014430
RPLP2	0.014428
CLEC4G	-0.014427
AGO3	-0.014411
SELM	-0.014395
C15orf39	-0.014395
SLC6A12	-0.014391
FZD6	-0.014391
UPK3A	-0.014390
RSBN1	-0.014380
TTK	-0.014378
TIRAP	-0.014375
PLAC8	0.014371
ALYREF	-0.014368
USP44	-0.014361
SLC45A4	-0.014356
TMCC3	-0.014351
OPTC	-0.014330
CMKLR1	0.014325
TST	-0.014324
TMEM14A	-0.014320
INPP1	0.014316
RGS9	0.014316
NFE4	-0.014313
SAMD3	0.014311
MYO1G	0.014309
ANKZF1	0.014292
GMNN	-0.014275
TSPAN3	0.014275
LOC100996425	0.014263
ADRB2	0.014260
EIF6	0.014258
COL5A3	-0.014255
IER2	0.014233
MASTL	-0.014227
SLC46A2	-0.014225
HRASLS5	0.014219
NT5C	0.014218
ARFGAP3	0.014205
BID	-0.014188
MTFR1L	0.014177
BIRC7	0.014169
MYCBP2	-0.014162
IDNK	0.014154
SCT	0.014141
ZNF276	0.014139
CASP2	-0.014139
MS4A2	0.014139
MPP1	0.014134
OGFRL1	-0.014130
RBP7	-0.014125
RYBP	-0.014123
CCDC167	-0.014121
GALNT12	0.014102
TRBV27	0.014097
LOC100506606	0.014095
DYNLT3	-0.014080
CRNKL1	-0.014077
KCTD11	0.014074
PLGLB2	-0.014073
NOD2	-0.014063
GSTM2	-0.014062
PELI2	-0.014060
HIST1H2BH	0.014051
LOC100507670	-0.014046
CCDC78	0.014043
ACTN4	-0.014032
S100A8	0.014015
DDX43	-0.014008
MGC16275	-0.014005
CLEC10A	-0.014001
C2orf88	0.013994
SMNDC1	-0.013994
UBL7	-0.013994
RPS24	-0.013992
ZNF792	0.013985
BIRC5	-0.013984
FAM129C	0.013983
RHPN2	-0.013982
EOGT	-0.013974
FAM76B	0.013969
FHOD1	0.013966
LINC00937	0.013961
SNX22	0.013947
FYB	0.013947
SLC35A3	-0.013943
APOC4	0.013937
COMP	0.013931
WBSCR22	0.013930
RPS25	0.013921
GOLGA8A	0.013921
GTSF1	-0.013921
ZNF251	0.013911
