!direction	1
!num_genes	513
!diffexp_method	chdir
!cutoff	1000
!correction_method	None
!threshold	None
!organism	Homo sapiens
!disease	Autism Spectrum Disorder
!end_metadata
TNFSF4	0.023675
EVL	0.023659
TRDV3	0.023515
PPP1R10	0.023327
IL4R	0.023274
SLC37A3	0.023242
PIK3R6	0.023178
ST3GAL4-AS1	0.023132
SLC16A14	0.023091
KIR2DL3	0.022963
ZBTB16	0.022907
EOMES	0.022907
FAM110C	0.022855
TUBB1	0.022708
TMEM185B	0.022613
FAM179A	0.022575
GDPD3	0.022569
SULT1B1	0.022540
RPL37A	0.022528
OSBPL5	0.022479
ANKRD33B	0.022311
CPA5	0.022298
FCRL3	0.022182
B3GAT1	0.022063
CXXC5	0.022027
PILRB	0.021984
SDPR	0.021805
FOXO6	0.021734
CCR3	0.021664
SLC2A3	0.021603
IL2RB	0.021592
BOLA2	0.021511
HRH4	0.021427
DHRS13	0.021388
ARL4C	0.021335
OSBPL8	0.021297
TNIP1	0.021263
LINC00936	0.021206
CD19	0.021178
PYHIN1	0.021178
RPL38	0.021164
TPR	0.021136
ITM2C	0.021125
USP1	0.021119
THRAP3	0.021112
PGLYRP1	0.021111
CD3G	0.021093
ID2	0.021057
CYP2W1	0.021028
TKTL1	0.020885
ABLIM1	0.020857
ANKRD20A9P	0.020841
ATP5E	0.020787
MCEMP1	0.020763
SIDT1	0.020763
AASDH	0.020726
CHD4	0.020626
PRSS30P	0.020566
KLRC3	0.020515
IQGAP1	0.020435
ZNF831	0.020377
CCS	0.020343
DDX11L2	0.020317
MTPN	0.020169
CTSW	0.020120
CD72	0.019908
LINC00487	0.019905
SLPI	0.019824
ZBED2	0.019790
CLEC2L	0.019780
GATA1	0.019747
TGFBR3	0.019741
KIFAP3	0.019626
JUNB	0.019570
PPP1R14A	0.019557
FEZ1	0.019547
ARHGEF40	0.019541
ACSL1	0.019495
SRGN	0.019468
FCRLA	0.019433
DSPP	0.019405
BTN3A2	0.019402
GATA2	0.019297
KRT3	0.019260
DUSP2	0.019191
DGKD	0.019186
ARID5A	0.019151
FGF13	0.019130
PLEKHF1	0.019120
CSRNP1	0.019120
KIAA0125	0.019050
KIR2DL1	0.019042
LLGL2	0.019020
GFI1	0.018966
PDGFA	0.018922
KIR3DL3	0.018877
LOC100132147	0.018864
CHI3L2	0.018826
P2RY12	0.018823
SLAMF7	0.018696
LINGO2	0.018668
ZNF37A	0.018613
TXK	0.018567
CD63	0.018531
HES4	0.018523
EEF1D	0.018443
NFKBIZ	0.018441
UPP1	0.018384
NARF	0.018363
LINC00528	0.018360
SLAMF6	0.018349
C19orf43	0.018330
TREML1	0.018322
PNMA1	0.018318
NDN	0.018283
SH3BGRL2	0.018250
VPREB1	0.018244
GPR65	0.018240
GIMAP7	0.018149
NTNG2	0.018148
SLC24A3	0.018145
MLH3	0.018110
ANKRD19P	0.018105
AP3D1	0.018101
KLF5	0.018079
TLE1	0.018070
CERS4	0.018052
COL6A2	0.018013
CXorf21	0.018009
SAMD9L	0.018003
STRAP	0.017999
SARAF	0.017984
ARL16	0.017973
USP18	0.017972
SAMSN1	0.017962
USP16	0.017944
SLC25A47	0.017938
NPEPPS	0.017898
MYLIP	0.017859
THBS4	0.017834
GPR34	0.017833
HES6	0.017832
IL18R1	0.017827
DGKK	0.017780
DHRS3	0.017775
ZNF641	0.017775
ZNF22	0.017731
IL3RA	0.017714
SLCO4C1	0.017710
IGLV3-19	0.017695
GALNT1	0.017695
ELANE	0.017650
DENND2D	0.017576
TXN	0.017575
GPATCH8	0.017562
NRBP2	0.017557
CYP2R1	0.017462
B2M	0.017442
TLR10	0.017430
F5	0.017409
MTERF2	0.017400
BLM	0.017349
ZIK1	0.017345
APBA2	0.017320
VNN1	0.017296
ANKRD36B	0.017276
NGRN	0.017226
ANKRD36	0.017187
RASA4	0.017182
RHOBTB3	0.017145
GNLY	0.017132
IGKV1D-8	0.017105
DDAH2	0.017100
TOX2	0.017011
LTBP1	0.017008
RHOBTB1	0.016971
NTRK1	0.016957
PRRC2C	0.016953
CLEC2B	0.016911
NT5C3A	0.016895
CXorf65	0.016872
BRE-AS1	0.016867
POM121L10P	0.016844
CASP7	0.016806
MICAL1	0.016801
TOX	0.016768
GYG1	0.016763
OXTR	0.016751
SON	0.016747
ANKRD12	0.016731
FAM134C	0.016726
RASEF	0.016694
LOC100130938	0.016690
GPR84	0.016682
SOD2	0.016670
ZAP70	0.016632
POLR3GL	0.016621
GCOM1	0.016590
FBLN5	0.016584
CLASRP	0.016558
TEX30	0.016551
ILF3-AS1	0.016547
RBM5	0.016529
BBS4	0.016470
LOC101927274	0.016459
GPR89A	0.016434
LILRA3	0.016424
OXER1	0.016420
MTX2	0.016408
PYROXD2	0.016404
ATRX	0.016394
NUCB2	0.016391
HAUS4	0.016352
COIL	0.016323
IL1B	0.016293
RAB27B	0.016288
CHST12	0.016284
CCDC71L	0.016276
SORD	0.016259
TVP23B	0.016247
LRRC73	0.016200
CDK5RAP3	0.016157
ACAP1	0.016153
IRAK4	0.016148
LCK	0.016143
CRACR2B	0.016133
ATP6V0E1	0.016128
LINC00282	0.016120
ARPC3	0.016114
LINC00996	0.016078
DHX29	0.016059
C17orf100	0.016035
SLC50A1	0.016025
WSB1	0.016000
SLC52A1	0.015981
LUC7L	0.015952
PSTPIP2	0.015939
DAB2	0.015931
LGALS12	0.015902
TNNC1	0.015873
KIAA1551	0.015852
ERCC5	0.015834
TMEM156	0.015831
NFIL3	0.015807
IGLV1-44	0.015786
SMIM5	0.015742
RSPH10B2	0.015741
TTC38	0.015702
NDRG4	0.015683
ACAA1	0.015678
GAS6-AS1	0.015619
KRT16	0.015599
PAK6	0.015535
ABHD15	0.015530
IMP3	0.015511
TNNT1	0.015493
LOC100133039	0.015489
LOC100134822	0.015433
BAMBI	0.015428
CYP46A1	0.015414
PNN	0.015393
RBM27	0.015389
GUCY1B3	0.015382
RAB24	0.015369
SFXN3	0.015360
C16orf54	0.015309
BAHD1	0.015283
SERPINI1	0.015279
ZNF23	0.015273
TNRC6C-AS1	0.015272
OTOP2	0.015254
FCER1A	0.015243
MYH13	0.015235
NBN	0.015218
CHKB	0.015178
EIF1	0.015110
TMEM200B	0.015109
NMUR1	0.015104
ERV3-2	0.015099
CHRM3-AS2	0.015073
LOC399900	0.015015
MYO15B	0.014988
GMPR	0.014985
TIGIT	0.014971
PGRMC1	0.014955
TCN1	0.014944
NLRC3	0.014926
PPBP	0.014924
TPST2	0.014893
VPS9D1	0.014869
AHSA2	0.014835
ECI2	0.014821
SUSD1	0.014808
LZTR1	0.014782
MRPS15	0.014762
LRTM2	0.014757
DNTTIP2	0.014750
HK3	0.014749
NR4A2	0.014746
ILF3	0.014740
GABPB1-AS1	0.014740
RNF183	0.014716
ZRSR2	0.014710
AKR1C2	0.014710
CCR1	0.014705
PHACTR1	0.014687
LILRA4	0.014674
SLC11A1	0.014665
RGL4	0.014659
TMOD1	0.014651
ZBTB24	0.014645
STAT4	0.014639
TNFSF10	0.014635
ZNF692	0.014609
POM121	0.014608
SERPINF1	0.014606
MAD1L1	0.014598
IER5	0.014596
PGS1	0.014594
FLJ46875	0.014587
EIF4G1	0.014582
COX3	0.014561
CHMP7	0.014557
A2M-AS1	0.014552
RPS11	0.014549
VRTN	0.014545
STAP1	0.014542
ZFAND2A	0.014512
DEFA4	0.014505
VDAC3	0.014451
UNC45B	0.014439
MAP3K8	0.014430
RPLP2	0.014428
PLAC8	0.014371
CMKLR1	0.014325
INPP1	0.014316
RGS9	0.014316
SAMD3	0.014311
MYO1G	0.014309
ANKZF1	0.014292
TSPAN3	0.014275
LOC100996425	0.014263
ADRB2	0.014260
EIF6	0.014258
IER2	0.014233
HRASLS5	0.014219
NT5C	0.014218
ARFGAP3	0.014205
MTFR1L	0.014177
BIRC7	0.014169
IDNK	0.014154
SCT	0.014141
ZNF276	0.014139
MS4A2	0.014139
MPP1	0.014134
GALNT12	0.014102
TRBV27	0.014097
LOC100506606	0.014095
KCTD11	0.014074
HIST1H2BH	0.014051
CCDC78	0.014043
S100A8	0.014015
C2orf88	0.013994
ZNF792	0.013985
FAM129C	0.013983
FAM76B	0.013969
FHOD1	0.013966
LINC00937	0.013961
SNX22	0.013947
FYB	0.013947
APOC4	0.013937
COMP	0.013931
WBSCR22	0.013930
RPS25	0.013921
GOLGA8A	0.013921
ZNF251	0.013911
